Geo Point;Geo Shape;OBJECTID;id_ref_zdl;gares_id;nom_gare;nomlong;nom_iv;num_mod;mode_;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;cod_ligf;ligne_code;indice_lig;reseau;res_com;cod_resf;res_stif;exploitant;num_psr;idf;principal;x;y
48.8461921405,2.27676096738;"{""type"": ""Point"", ""coordinates"": [2.276760967379573, 48.84619214048854]}";773;45346;376;JAVEL;JAVEL;JAVEL;2536;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-315;C;RER;RER C;2.0;803.0;SNCF;393066;1;0;646923.3875;6860926.0654
48.725197641,2.25735518815;"{""type"": ""Point"", ""coordinates"": [2.257355188147783, 48.72519764101378]}";797;58774;522;MASSY-PALAISEAU;MASSY-PALAISEAU;MASSY PALAISEAU;2806;RER;1;0;1;0;0;0;0;RER_C;0;RER_C;0;0;0;0;A01840;;RER C;26.0;RER C-169;C;RER;RER C;2.0;803.0;SNCF;758797;1;1;645372.7644;6847486.7402
48.8074926258,2.24088306797;"{""type"": ""Point"", ""coordinates"": [2.240883067974085, 48.80749262577147]}";809;43163;540;MEUDON-VAL-FLEURY;MEUDON-VAL-FLEURY;MEUDON VAL FLEURY;2540;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-319;C;RER;RER C;2.0;803.0;SNCF;393082;1;0;644249.1143;6856647.9002
48.7965281821,2.15237866024;"{""type"": ""Point"", ""coordinates"": [2.152378660238759, 48.79652818207501]}";936;43183;679;PORCHEFONTAINE;PORCHEFONTAINE;PORCHEFONTAINE;2547;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-74;C;RER;RER C;2.0;803.0;SNCF;393165;1;0;637736.3447;6855494.9688
48.8002155781,2.12904386873;"{""type"": ""Point"", ""coordinates"": [2.129043868731506, 48.80021557814588]}";951;43220;885;VERSAILLES CHATEAU;VERSAILLES CHATEAU;VERSAILLES CHATEAU;2548;RER;1;0;1;0;0;0;0;RER_C;0;RER_C;0;0;0;0;A01840;;RER C;26.0;RER C-75;C;RER;RER C;2.0;803.0;SNCF;393157;1;1;636026.8335;6855923.5959
48.7398306994,2.42639982047;"{""type"": ""Point"", ""coordinates"": [2.426399820474822, 48.739830699436546]}";1059;46307;899;VILLENEUVE-LE-ROI;VILLENEUVE-LE-ROI;VILLENEUVE-LE-ROI;2549;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-424;C;RER;RER C;2.0;803.0;SNCF;545277;1;0;657818.8642;6849010.0051
48.7126289875,2.40363310491;"{""type"": ""Point"", ""coordinates"": [2.403633104908492, 48.71262898747625]}";612;46395;31;ATHIS-MONS;ATHIS-MONS;ATHIS-MONS;2551;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-150;C;RER;RER C;2.0;803.0;SNCF;545251;1;0;656121.8463;6845998.1467
48.9850047004,2.25747415863;"{""type"": ""Point"", ""coordinates"": [2.257474158629373, 48.9850047003684]}";674;43105;134;CERNAY;CERNAY;CERNAY;2502;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-228;C;RER;RER C;2.0;803.0;SNCF;276063;1;0;645653.1721;6876374.617
48.5142458762,2.21551781058;"{""type"": ""Point"", ""coordinates"": [2.215517810582092, 48.51424587619093]}";676;47927;137;CHAMARANDE;CHAMARANDE;CHAMARANDE;2561;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-188;C;RER;RER C;2.0;803.0;SNCF;545152;1;0;642062.4133;6824065.6532
48.8572934139,2.29039155346;"{""type"": ""Point"", ""coordinates"": [2.290391553460649, 48.85729341387046]}";681;58757;141;CHAMP DE MARS-TOUR EIFFEL;CHAMP DE MARS-TOUR EIFFEL;CHAMP DE MARS TOUR EIFFEL;3070;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-314;C;RER;RER C;2.0;803.0;SNCF;393058;1;0;647934.7662;6862151.3406
48.9937134813,2.23427639398;"{""type"": ""Point"", ""coordinates"": [2.234276393983286, 48.99371348128498]}";729;43126;292;FRANCONVILLE-LE PLESSIS-BOUCHARD;FRANCONVILLE-LE-PLESSIS-BOUCHARD;FRANCONVILLE LE PLESSIS-BOUCHARD;2501;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-229;C;RER;RER C;2.0;803.0;SNCF;276071;1;0;643964.7292;6877359.2785
48.5914608202,2.26693797261;"{""type"": ""Point"", ""coordinates"": [2.26693797261416, 48.59146082022337]}";825;47939;402;LA NORVILLE-SAINT-GERMAIN-LÈS-A.;LA NORVILLE-SAINT-GERMAIN-LES-ARPAJON;LA NORVILLE SAINT-GERMAIN-LÈS-ARPAJON;2565;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-195;C;RER;RER C;2.0;803.0;SNCF;545459;1;0;645939.6009;6832612.4855
48.7825054355,2.4095416551;"{""type"": ""Point"", ""coordinates"": [2.409541655099438, 48.7825054354935]}";845;43227;444;LES ARDOINES;LES ARDOINES;LES ARDOINES;2525;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-369;C;RER;RER C;2.0;803.0;SNCF;492108;1;0;656614.6593;6853763.8273
48.9208728035,2.31383538247;"{""type"": ""Point"", ""coordinates"": [2.313835382469576, 48.920872803457314]}";850;43230;450;LES GRÉSILLONS;LES GRESILLONS;LES GRÉSILLONS;2507;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-429;C;RER;RER C;2.0;803.0;SNCF;272146;1;0;649716.2727;6869205.7904
48.8779084382,2.28443121992;"{""type"": ""Point"", ""coordinates"": [2.284431219916768, 48.87790843816006]}";885;44533;590;PORTE MAILLOT;PORTE MAILLOT;NEUILLY-PORTE MAILLOT;2511;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-331;C;RER;RER C;2.0;803.0;SNCF;381020;1;0;647518.2308;6864447.5037
48.7704252021,2.14683164477;"{""type"": ""Point"", ""coordinates"": [2.146831644765371, 48.77042520210542]}";895;57674;638;PETIT-JOUY-LES-LOGES;PETIT-JOUY-LES-LOGES;PETIT-JOUY-LES-LOGES;2811;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-76;C;RER;RER C;2.0;803.0;SNCF;393504;1;0;637297.5355;6852597.1939
48.8626624517,2.30098996939;"{""type"": ""Point"", ""coordinates"": [2.300989969386769, 48.862662451694334]}";929;415091;664;PONT DE L'ALMA;PONT DE L'ALMA;PONT DE L'ALMA;2517;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-313;C;RER;RER C;2.0;803.0;SNCF;393041;1;0;648717.6553;6862741.3932
48.7483496824,2.3731119407;"{""type"": ""Point"", ""coordinates"": [2.373111940704934, 48.74834968236463]}";930;47907;670;PONT-DE-RUNGIS-AÉROPORT D'ORLY;PONT DE RUNGIS;PONT DE RUNGIS;2529;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-352;C;RER;RER C;2.0;803.0;SNCF;546192;1;0;653907.804;6849986.9378
49.0453116484,2.10511070344;"{""type"": ""Point"", ""coordinates"": [2.105110703444507, 49.04531164835025]}";941;47599;805;SAINT-OUEN-L'AUMÔNE;SAINT-OUEN-L'AUMONE;SAINT-OUEN-L'AUMÔNE;2576;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-250;C;RER;RER C;2.0;803.0;SNCF;276105;1;0;634577.8556;6883196.6275
49.0339876363,2.12826387392;"{""type"": ""Point"", ""coordinates"": [2.128263873923673, 49.03398763627145]}";944;43150;960;SAINT-OUEN-L'AUMÔNE-LIESSE;SAINT-OUEN-L'AUMONE-LIESSE;SAINT-OUEN-L'AUMÔNE LIESSE;2578;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-458;C;RER;RER C;2.0;803.0;SNCF;276100;1;0;636256.5279;6881918.3815
48.5358065092,2.06938152489;"{""type"": ""Point"", ""coordinates"": [2.069381524887471, 48.53580650924369]}";958;47950;793;SERMAISE;SERMAISE;SERMAISE;2571;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-201;C;RER;RER C;2.0;803.0;SNCF;545517;1;0;631298.2893;6826579.4598
48.7952802463,2.1360504883;"{""type"": ""Point"", ""coordinates"": [2.136050488302482, 48.79528024626221]}";1031;43219;887;VERSAILLES-CHANTIERS;VERSAILLES-CHANTIERS;VERSAILLES-CHANTIERS;2543;RER;1;0;1;0;0;0;0;RER_C;0;RER_C;0;0;0;0;A01840;;RER C;26.0;RER C-108;C;RER;RER C;2.0;803.0;SNCF;393009;1;1;636535.4567;6855369.2195
48.7255353058,2.41956502438;"{""type"": ""Point"", ""coordinates"": [2.41956502437794, 48.72553530576058]}";599;46387;3;ABLON;ABLON;ABLON;2550;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-425;C;RER;RER C;2.0;803.0;SNCF;545269;1;0;657304.576;6847424.3179
48.8644617484,2.27212062164;"{""type"": ""Point"", ""coordinates"": [2.272120621636197, 48.86446174837966]}";620;45447;42;AV. HENRI MARTIN;AVENUE HENRI MARTIN;AVENUE HENRI MARTIN;2513;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-333;C;RER;RER C;2.0;803.0;SNCF;381046;1;0;646601.5804;6862960.5952
48.8298750437,2.37669589214;"{""type"": ""Point"", ""coordinates"": [2.376695892136014, 48.82987504370408]}";629;45301;71;BIBLIOTHÈQUE FRANCOIS MITTERRAND;BIBLIOTHEQUE FRANCOIS MITTERRAND;BIBLIOTHÈQUE FRANCOIS MITTERRAND;2574;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-383;C;RER;RER C;2.0;803.0;SNCF;0;1;0;654242.8628;6859049.2394
48.5775084894,2.19206306877;"{""type"": ""Point"", ""coordinates"": [2.192063068770897, 48.57750848943182]}";658;47925;109;BREUILLET-BRUYÈRES-LE-CHÂTEL;BREUILLET-BRUYERES-LE-CHATEL;BREUILLET BRUYÈRES-LE-CHÂTEL;2568;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-198;C;RER;RER C;2.0;803.0;SNCF;545483;1;0;640402.1892;6831115.3788
48.5645970265,2.17097626506;"{""type"": ""Point"", ""coordinates"": [2.170976265059194, 48.564597026458]}";659;43099;110;BREUILLET-VILLAGE;BREUILLET-VILLAGE;BREUILLET-VILLAGE;2569;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-199;C;RER;RER C;2.0;803.0;SNCF;545491;1;0;638831.6993;6829696.2414
48.9328961655,2.30794323409;"{""type"": ""Point"", ""coordinates"": [2.307943234086859, 48.932896165549444]}";717;43130;326;GENNEVILLIERS;GENNEVILLIERS;GENNEVILLIERS;2506;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-428;C;RER;RER C;2.0;803.0;SNCF;271205;1;0;649296.2115;6870546.5309
48.4369239376,2.15953058757;"{""type"": ""Point"", ""coordinates"": [2.159530587565154, 48.43692393764029]}";747;43080;271;ÉTAMPES;ETAMPES;ETAMPES;2563;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-190;C;RER;RER C;2.0;803.0;SNCF;545137;1;1;637836.1692;6815513.6232
48.8629018918,2.31391107854;"{""type"": ""Point"", ""coordinates"": [2.313911078538978, 48.862901891762164]}";767;43407;361;INVALIDES;INVALIDES;INVALIDES;2518;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-312;C;RER;RER C;2.0;803.0;SNCF;393033;1;0;649665.81;6862759.7028
